wkt_geom;Value;Count;World_Lan1;World_Mois;World_Temp;World_Lan2;LF_ClassNa;LC_ClassNa;Temp_Class;Moisture_C;Temp_Moist;W_Ecosystm
NULL;112;467017;4;3;2;6;Plains;Sparsely or Non-vegetated;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Sparsely or Non-vegetated on Plains
NULL;113;618440;1;3;2;5;Mountains;Settlement;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Settlement on Mountains
NULL;114;3408302;2;3;2;4;Hills;Grassland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Grassland on Hills
NULL;115;4852221;4;3;2;2;Plains;Shrubland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Shrubland on Plains
NULL;116;46084519;4;3;2;1;Plains;Cropland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Cropland on Plains
NULL;117;30280;2;2;1;5;Hills;Settlement;Boreal;Dry;Boreal Dry;Boreal Dry Settlement on Hills
NULL;118;299750;1;3;2;8;Mountains;Snow and Ice;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Snow and Ice on Mountains
NULL;119;1764;1;2;6;5;Mountains;Settlement;Polar;Dry;Polar Dry;Polar Dry Settlement on Mountains
NULL;120;2162831;4;3;2;5;Plains;Settlement;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Settlement on Plains
NULL;121;16159;1;3;1;5;Mountains;Settlement;Boreal;Moist;Boreal Moist;Boreal Moist Settlement on Mountains
NULL;122;34502;1;2;1;5;Mountains;Settlement;Boreal;Dry;Boreal Dry;Boreal Dry Settlement on Mountains
NULL;123;3269;3;2;1;5;Tablelands;Settlement;Boreal;Dry;Boreal Dry;Boreal Dry Settlement on Tablelands
NULL;124;967938;1;3;1;8;Mountains;Snow and Ice;Boreal;Moist;Boreal Moist;Boreal Moist Snow and Ice on Mountains
NULL;125;5607;2;3;1;8;Hills;Snow and Ice;Boreal;Moist;Boreal Moist;Boreal Moist Snow and Ice on Hills
NULL;126;17377;4;3;1;8;Plains;Snow and Ice;Boreal;Moist;Boreal Moist;Boreal Moist Snow and Ice on Plains
NULL;127;87;2;3;6;5;Hills;Settlement;Polar;Moist;Polar Moist;Polar Moist Settlement on Hills
NULL;128;5939640;4;3;2;4;Plains;Grassland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Grassland on Plains
NULL;129;237859;3;3;2;5;Tablelands;Settlement;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Settlement on Tablelands
NULL;130;26214;1;2;1;8;Mountains;Snow and Ice;Boreal;Dry;Boreal Dry;Boreal Dry Snow and Ice on Mountains
NULL;131;22967;3;3;1;8;Tablelands;Snow and Ice;Boreal;Moist;Boreal Moist;Boreal Moist Snow and Ice on Tablelands
NULL;132;6273;4;3;2;8;Plains;Snow and Ice;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Snow and Ice on Plains
NULL;133;9659;3;3;2;8;Tablelands;Snow and Ice;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Snow and Ice on Tablelands
NULL;134;41820;2;3;2;8;Hills;Snow and Ice;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Snow and Ice on Hills
NULL;135;15611361;1;2;2;6;Mountains;Sparsely or Non-vegetated;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Sparsely or Non-vegetated on Mountains
NULL;136;12450493;1;2;2;2;Mountains;Shrubland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Shrubland on Mountains
NULL;137;13525348;1;2;2;3;Mountains;Forest;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Forest on Mountains
NULL;138;2827915;4;2;2;3;Plains;Forest;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Forest on Plains
NULL;139;1264567;2;2;2;3;Hills;Forest;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Forest on Hills
NULL;140;1287738;3;2;2;3;Tablelands;Forest;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Forest on Tablelands
NULL;141;2017610;3;2;2;2;Tablelands;Shrubland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Shrubland on Tablelands
NULL;142;17213782;1;2;2;4;Mountains;Grassland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Grassland on Mountains
NULL;143;3148779;2;2;2;2;Hills;Shrubland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Shrubland on Hills
NULL;144;4886225;4;2;2;2;Plains;Shrubland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Shrubland on Plains
NULL;145;45210080;4;2;2;1;Plains;Cropland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Cropland on Plains
NULL;146;14462433;2;2;2;1;Hills;Cropland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Cropland on Hills
NULL;147;16026019;2;2;2;6;Hills;Sparsely or Non-vegetated;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Sparsely or Non-vegetated on Hills
NULL;148;13419819;1;2;2;1;Mountains;Cropland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Cropland on Mountains
NULL;149;16588233;2;2;2;4;Hills;Grassland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Grassland on Hills
NULL;150;3693934;3;2;2;1;Tablelands;Cropland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Cropland on Tablelands
NULL;151;27831655;4;2;2;6;Plains;Sparsely or Non-vegetated;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Sparsely or Non-vegetated on Plains
NULL;152;3538568;3;2;2;6;Tablelands;Sparsely or Non-vegetated;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Sparsely or Non-vegetated on Tablelands
NULL;153;24249365;4;2;2;4;Plains;Grassland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Grassland on Plains
NULL;154;267064;2;2;2;5;Hills;Settlement;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Settlement on Hills
NULL;155;42802;3;2;2;5;Tablelands;Settlement;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Settlement on Tablelands
NULL;156;3703941;3;2;2;4;Tablelands;Grassland;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Grassland on Tablelands
NULL;157;500994;4;2;2;5;Plains;Settlement;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Settlement on Plains
NULL;158;199780;1;2;2;5;Mountains;Settlement;Cool Temperate;Dry;Cool Temperate Dry;Cool Temperate Dry Settlement on Mountains
NULL;159;5893517;4;3;3;4;Plains;Grassland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Grassland on Plains
NULL;160;21057735;4;3;3;1;Plains;Cropland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Cropland on Plains
NULL;161;1582898;4;3;3;5;Plains;Settlement;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Settlement on Plains
NULL;162;63747;4;3;3;6;Plains;Sparsely or Non-vegetated;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Sparsely or Non-vegetated on Plains
NULL;163;7051184;2;3;3;3;Hills;Forest;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Forest on Hills
NULL;164;4492674;2;3;3;4;Hills;Grassland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Grassland on Hills
NULL;165;376639;2;3;3;2;Hills;Shrubland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Shrubland on Hills
NULL;166;7628034;4;3;3;3;Plains;Forest;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Forest on Plains
NULL;167;1041618;4;3;3;2;Plains;Shrubland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Shrubland on Plains
NULL;168;7980992;2;3;3;1;Hills;Cropland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Cropland on Hills
NULL;169;826951;2;3;3;5;Hills;Settlement;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Settlement on Hills
NULL;170;37621;2;3;3;6;Hills;Sparsely or Non-vegetated;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Sparsely or Non-vegetated on Hills
NULL;171;3469322;1;3;3;4;Mountains;Grassland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Grassland on Mountains
NULL;172;854167;1;3;3;5;Mountains;Settlement;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Settlement on Mountains
NULL;173;22792265;1;3;3;1;Mountains;Cropland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Cropland on Mountains
NULL;174;229591;1;3;3;6;Mountains;Sparsely or Non-vegetated;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Sparsely or Non-vegetated on Mountains
NULL;175;2929062;1;3;3;2;Mountains;Shrubland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Shrubland on Mountains
NULL;176;42091216;1;3;3;3;Mountains;Forest;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Forest on Mountains
NULL;177;130958;3;3;3;5;Tablelands;Settlement;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Settlement on Tablelands
NULL;178;2984994;3;3;3;1;Tablelands;Cropland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Cropland on Tablelands
NULL;179;1409429;3;3;3;4;Tablelands;Grassland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Grassland on Tablelands
NULL;180;3959557;3;3;3;3;Tablelands;Forest;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Forest on Tablelands
NULL;181;361680;3;3;3;2;Tablelands;Shrubland;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Shrubland on Tablelands
NULL;182;13550;3;3;3;6;Tablelands;Sparsely or Non-vegetated;Warm Temperate;Moist;Warm Temperate Moist;Warm Temperate Moist Sparsely or Non-vegetated on Tablelands
NULL;183;19913122;1;2;3;2;Mountains;Shrubland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Shrubland on Mountains
NULL;184;19952648;1;2;3;1;Mountains;Cropland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Cropland on Mountains
NULL;185;711729;1;2;3;5;Mountains;Settlement;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Settlement on Mountains
NULL;186;9027272;1;2;3;4;Mountains;Grassland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Grassland on Mountains
NULL;187;29158697;4;2;3;1;Plains;Cropland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Cropland on Plains
NULL;188;1154501;4;2;3;5;Plains;Settlement;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Settlement on Plains
NULL;189;5831214;4;2;3;4;Plains;Grassland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Grassland on Plains
NULL;190;10641773;2;2;3;1;Hills;Cropland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Cropland on Hills
NULL;191;359892;2;2;3;5;Hills;Settlement;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Settlement on Hills
NULL;192;5104101;2;2;3;4;Hills;Grassland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Grassland on Hills
NULL;193;9291713;2;2;3;2;Hills;Shrubland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Shrubland on Hills
NULL;194;10546122;1;2;3;3;Mountains;Forest;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Forest on Mountains
NULL;195;2740390;4;2;3;3;Plains;Forest;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Forest on Plains
NULL;196;15256430;4;2;3;2;Plains;Shrubland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Shrubland on Plains
NULL;197;6444982;2;2;3;6;Hills;Sparsely or Non-vegetated;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Sparsely or Non-vegetated on Hills
NULL;198;3242594;3;2;3;1;Tablelands;Cropland;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Cropland on Tablelands
NULL;199;1870418;2;2;3;3;Hills;Forest;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Forest on Hills
NULL;200;62092;3;2;3;5;Tablelands;Settlement;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Settlement on Tablelands
NULL;201;20397725;4;2;3;6;Plains;Sparsely or Non-vegetated;Warm Temperate;Dry;Warm Temperate Dry;Warm Temperate Dry Sparsely or Non-vegetated on Plains
